rank,run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,status
40,srm__id029__tr4__trefr10__vth0p7__lr0p001__a6__ig1p5__ls1,srm,0.9759,0.9756728865151706,78455420000.0,0.9747,0.97444987862085,78454140000.0,DONE
41,srm__id034__tr2p5__trefr12__vth0p5__lr0p0008__a6__ig1p2__ls1,srm,0.9759,0.975659481075315,78817465000.0,0.9755,0.9752047640877116,78784989500.0,DONE
42,dynsrm__id020__tr3__trefr10__vth1__lr0p0008__a6__ig1p2__ls0p8,dynsrm,0.9758,0.9756949869207414,80100425000.0,0.9745,0.9743993908125124,80017264000.0,DONE
43,srm__id003__tr4__trefr16__vth0p5__lr0p001__a8__ig0p8__ls1p2,srm,0.9758,0.975592914599245,77745969500.0,0.9747,0.9744645278800732,77729442000.0,DONE
44,dynsrm__id008__tr2p5__trefr10__vth1__lr0p001__a4__ig1p2__ls1,dynsrm,0.9757,0.9755284980422892,82928338000.0,0.9745,0.974357576483083,82927970500.0,DONE
45,dynsrm__id022__tr4__trefr10__vth1__lr0p0005__a6__ig1p5__ls1p2,dynsrm,0.9757,0.9755215396442156,79383673500.0,0.9748,0.9746493214745662,79380827000.0,DONE
46,dynsrm__id036__tr2p5__trefr8__vth0p7__lr0p0008__a8__ig1p2__ls0p8,dynsrm,0.9756,0.9754601047001046,78005907500.0,0.9738,0.9736445086899576,78000038500.0,DONE
47,alif__id014__tau4__vth0p5__lr0p0008__a6__ig0p8__ls1p2,alif,0.9756,0.9754477155159746,79936999000.0,0.9753,0.9751932961409084,79945112000.0,DONE
48,dynsrm__id004__tr2__trefr10__vth0p7__lr0p0005__a4__ig1p2__ls1p2,dynsrm,0.9756,0.9754242418963568,83084017000.0,0.9747,0.9745124461147968,83030361000.0,DONE
49,dynsrm__id012__tr1p5__trefr16__vth0p5__lr0p0008__a6__ig1p2__ls1p2,dynsrm,0.9755,0.9753606695291186,79292012500.0,0.9742,0.9740175982232736,79290320000.0,DONE
50,dynsrm__id035__tr2__trefr10__vth0p7__lr0p0005__a6__ig1p5__ls1,dynsrm,0.9755,0.9753284713006072,79594278000.0,0.9751,0.9749033135712724,79592809500.0,DONE
